City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,balcarce,-37.8462,-58.2552,279.16,48,0,0.89,AR,1720127402
225,san borja,-14.8167,-66.85,304.7,44,16,1.56,BO,1720127403
226,pingzhuang,42.0372,119.2889,292.9,62,35,0.67,CN,1720127404
227,alta,69.9689,23.2717,285.74,88,0,1.54,NO,1720127405
228,selfoss,63.9331,-20.9971,285.4,71,100,2.65,IS,1720127407
229,crane,31.3974,-102.3501,311.14,26,2,6.08,US,1720127408
230,ornskoldsvik,63.2909,18.7153,287.68,88,75,3.6,SE,1720127409
231,shahrud,36.4182,54.9763,298.69,36,0,4.05,IR,1720127410
232,puerto deseado,-47.7503,-65.8938,275.41,86,84,10.79,AR,1720127412
233,uturoa,-16.7333,-151.4333,299.15,77,3,9.19,PF,1720127413
234,port elizabeth,-33.918,25.5701,283.88,92,18,3.22,ZA,1720127414
235,tsiombe,-25.3,45.4833,290.81,78,0,2.8,MG,1720127416
236,hermanus,-34.4187,19.2345,288.04,81,91,11.98,ZA,1720127417
237,brockville,44.5834,-75.6826,302.23,66,72,4.5,CA,1720127419
238,dhidhdhoo,6.8833,73.1,301.5,81,98,5.29,MV,1720127420
239,merefa,49.8197,36.0519,295.6,53,50,3.68,UA,1720127421
240,mahina,-17.5065,-149.489,300.79,69,75,3.09,PF,1720127422
241,touros,-5.1989,-35.4608,298.1,76,39,5.14,BR,1720127424
242,bathsheba,13.2167,-59.5167,301.82,76,64,5.89,BB,1720127425
243,utete,-7.986,38.758,293.44,92,8,1.51,TZ,1720127426
244,lorengau,-2.0226,147.2712,299.17,84,98,2.66,PG,1720127427
245,muynoq,43.7683,59.0214,298.32,43,55,5.74,UZ,1720127428
246,onguday,50.75,86.15,284.71,91,100,1.62,RU,1720127430
247,lianzhou,24.7811,112.3825,296.92,97,2,1.49,CN,1720127431
248,lihue,21.9789,-159.3672,301.18,73,75,6.17,US,1720127432
249,valparaiso,-33.0393,-71.6273,288.95,47,0,8.23,CL,1720127434
250,sinop,41.7711,34.8709,291.32,79,99,1.27,TR,1720127435
251,ancud,-41.8697,-73.8203,279.65,69,49,4.72,CL,1720127437
252,harper,4.375,-7.7169,297.11,78,6,2.77,LR,1720127438
253,priozersk,61.0393,30.1291,287.59,91,100,2.28,RU,1720127439
254,zermatt,46.0213,7.7491,285.4,97,8,2.93,CH,1720127440
255,greymouth,-42.4667,171.2,276.25,82,55,2.67,NZ,1720127442
256,salmon arm,50.6998,-119.3024,303.39,23,1,1.66,CA,1720127443
257,east london,-33.0153,27.9116,288.08,53,7,4.45,ZA,1720127444
258,nar'yan-mar,67.6713,53.087,282.24,83,46,6.77,RU,1720127445
259,boa vista,2.8197,-60.6733,303.14,66,40,4.12,BR,1720127446
260,pocito,-31.6833,-68.5833,284.75,29,3,6.71,AR,1720127448
261,kone,-21.0595,164.8658,293.47,74,18,2.27,NC,1720127449
262,loen,7.7601,168.2307,300.22,79,100,4.05,MH,1720127450
263,gadzhiyevo,69.2551,33.3362,283.13,79,29,1.17,RU,1720127452
264,kismayo,-0.3582,42.5454,297.96,80,38,6.9,SO,1720127454
265,torghay,49.6339,63.4981,293.21,51,0,3.25,KZ,1720127455
266,valley city,46.9233,-98.0032,290.44,100,75,5.14,US,1720127456
267,hamilton,39.1834,-84.5333,302.18,82,20,4.12,US,1720127320
268,ouesso,1.6136,16.0517,295.95,91,62,0.99,CG,1720127458
269,alcaniz,41.05,-0.1333,299.72,42,0,2.56,ES,1720127459
270,galliano,29.4422,-90.2992,304.15,63,71,4.69,US,1720127461
271,bichura,50.5881,107.6022,292.31,77,100,0.11,RU,1720127462
272,nema,57.5067,50.5011,294.83,82,9,1.06,RU,1720127463
273,ustyuzhna,58.8394,36.4321,292.43,92,88,4.51,RU,1720127464
274,san luis de la loma,17.2706,-100.8939,302.73,68,14,4.05,MX,1720127466
275,luorong,24.4058,109.6086,298.19,91,68,1.77,CN,1720127467
276,santyoku,37.4406,129.1708,298.52,72,100,5.99,KR,1720127468
277,morant bay,17.8815,-76.4093,302.16,77,100,4.14,JM,1720127469
278,wynyard,-41.0,145.7167,276.73,82,0,2.16,AU,1720127470
279,preobrazheniye,42.9019,133.9064,292.67,85,100,0.72,RU,1720127472
280,tura,25.5198,90.2201,297.27,98,100,3.82,IN,1720127473
281,neiafu,-18.65,-173.9833,298.58,81,6,6.02,TO,1720127474
282,aykhal,66.0,111.5,285.58,52,62,1.17,RU,1720127475
283,youhao,47.8667,128.8333,292.43,93,100,0.71,CN,1720127476
284,owando,-0.4819,15.8999,297.8,74,69,1.42,CG,1720127478
285,qui nhon,13.7667,109.2333,298.19,86,99,1.65,VN,1720127479
286,torata,-17.0769,-70.8433,291.44,26,33,2.15,PE,1720127480
287,djibouti,11.5,42.5,305.79,33,71,1.26,DJ,1720127481
288,jebba,9.1333,4.8333,298.11,87,60,1.99,NG,1720127483
289,nikel,69.4128,30.222,288.25,65,94,3.79,RU,1720127484
290,sitka,57.0531,-135.33,289.09,72,40,3.09,US,1720127485
291,rio grande,-32.035,-52.0986,285.21,71,99,1.23,BR,1720127486
292,viedma,-40.8135,-62.9967,279.58,40,41,8.02,AR,1720127487
293,el triunfo,-1.9333,-79.9667,303.17,62,96,2.37,EC,1720127489
294,mweka,-4.85,21.5667,295.16,37,4,1.25,CD,1720127490
295,guerrero negro,27.9769,-114.0611,300.06,55,89,6.11,MX,1720126907
296,mount gambier,-37.8333,140.7667,278.82,96,14,2.32,AU,1720127492
297,tongliao,43.6125,122.2653,293.32,79,100,2.71,CN,1720127493
298,pacific grove,36.6177,-121.9166,302.25,66,0,3.09,US,1720127496
299,pulsano,40.3821,17.3564,297.86,57,20,1.79,IT,1720127498
300,sandnessjoen,66.0217,12.6316,291.21,55,75,3.6,NO,1720127052
301,betioky,-23.7167,44.3833,287.86,88,0,1.07,MG,1720127501
302,mogocha,53.7333,119.7667,291.18,82,66,1.5,RU,1720127502
303,san fernando de apure,7.8878,-67.4724,301.36,88,100,0.68,VE,1720127503
304,tolanaro,-25.0319,46.9987,294.19,83,40,4.12,MG,1720127040
305,lensk,60.7253,114.9278,286.56,67,85,2.24,RU,1720127505
306,praia da vitoria,38.7333,-27.0667,294.68,76,53,1.87,PT,1720127507
307,fallon,39.4735,-118.7774,307.08,27,0,2.57,US,1720127508
308,pamandzi,-12.7967,45.2794,296.03,88,0,2.06,YT,1720127509
309,tocopilla,-22.092,-70.1979,290.8,74,0,2.23,CL,1720127510
310,al qadarif,14.0349,35.3834,301.21,54,94,3.52,SD,1720127511
311,jieshi,22.8134,115.8257,301.35,85,0,1.56,CN,1720127513
312,brookings,44.3114,-96.7984,294.34,73,75,7.2,US,1720127514
313,sur,22.5667,59.5289,306.85,53,100,0.44,OM,1720127515
314,shenkursk,62.1091,42.896,288.47,76,8,2.01,RU,1720127516
315,canutama,-6.5339,-64.3831,297.67,87,100,1.86,BR,1720127517
316,jining,35.405,116.5814,295.63,91,44,3.29,CN,1720127519
317,hasaki,35.7333,140.8333,297.37,94,2,3.1,JP,1720127520
318,polyarnyy,69.1989,33.4478,283.84,76,37,1.19,RU,1720127034
319,namibe,-15.1961,12.1522,289.97,87,14,0.62,AO,1720127522
320,santa elena de uairen,4.6167,-61.1333,297.54,69,72,3.82,VE,1720127523
321,tromso,69.6496,18.957,285.16,71,0,6.17,NO,1720127525
322,perry,37.2506,-83.1999,306.25,80,100,2.36,US,1720127526
323,eyl,7.9803,49.8164,299.12,67,100,9.77,SO,1720127527
324,kroya,-7.6331,109.2461,297.14,92,95,3.03,ID,1720127528
325,port lincoln,-34.7333,135.8667,285.26,78,62,7.62,AU,1720127529
326,fisterra,42.9049,-9.2629,293.16,84,24,10.48,ES,1720127531
327,nogliki,51.8333,143.1667,291.81,85,100,1.88,RU,1720127532
328,portland,45.5234,-122.6762,304.63,39,0,3.09,US,1720127523
329,malmberget,67.1753,20.6549,286.46,77,100,2.57,SE,1720127534
330,byelaazyorsk,52.4731,25.1784,285.8,96,63,3.78,BY,1720127535
331,la baneza,42.3003,-5.8977,295.36,44,17,1.9,ES,1720127537
332,kamaishi,39.2667,141.8833,294.1,81,100,2.0,JP,1720127538
333,acapulco de juarez,16.8634,-99.8901,304.05,70,40,4.63,MX,1720127539
334,katsuren-haebaru,26.3369,127.8719,302.16,90,0,1.54,JP,1720127540
335,zimatlan de alvarez,16.8667,-96.7833,300.29,41,40,1.54,MX,1720127541
336,novo aripuana,-5.1206,-60.3797,301.15,66,100,1.24,BR,1720127543
337,vernon,50.2581,-119.2691,303.31,24,0,1.54,CA,1720127544
338,aldinga beach,-35.2793,138.4604,284.13,85,5,5.51,AU,1720127545
339,benjamin constant,-4.3831,-70.0311,303.22,74,40,2.06,BR,1720127546
340,hithadhoo,-0.6,73.0833,301.52,74,34,2.83,MV,1720127549
341,lupiro,-8.3833,36.6667,293.09,80,5,0.55,TZ,1720127550
342,yurty,56.0498,97.6348,288.69,96,100,2.22,RU,1720127551
343,port antonio,18.18,-76.4612,302.54,73,100,4.47,JM,1720127552
344,clearwater,27.9659,-82.8001,307.11,70,0,5.66,US,1720127554
345,acoyapa,11.9703,-85.1711,298.73,93,95,1.94,NI,1720127555
346,taman',45.2117,36.7161,298.41,68,2,1.83,RU,1720127556
347,bressanone,46.715,11.656,293.02,86,78,0.83,IT,1720127557
348,antonio enes,-16.2325,39.9086,295.61,72,43,1.27,MZ,1720127558
349,rosetta,31.4044,30.4164,298.9,74,0,3.64,EG,1720127560
350,namsos,64.4662,11.4957,289.18,72,100,3.6,NO,1720127561
351,lethem,3.3803,-59.7968,301.73,78,60,3.64,GY,1720127562
352,six-fours-les-plages,43.0938,5.84,298.76,61,0,6.04,FR,1720127563
353,mata-utu,-13.2816,-176.1745,301.08,78,7,8.85,WF,1720127565
354,luba,3.4568,8.5547,298.09,88,79,3.5,GQ,1720127021
355,sambava,-14.2667,50.1667,293.63,86,8,4.33,MG,1720127567
356,krasnokamensk,50.0979,118.0369,296.46,43,6,0.12,RU,1720127568
357,souillac,-20.5167,57.5167,295.36,60,40,6.69,MU,1720127569
358,lazaro cardenas,17.9583,-102.2,302.5,68,22,4.77,MX,1720127571
359,quibala,-10.7337,14.98,289.67,30,30,0.81,AO,1720127572
360,kingscliff,-28.2667,153.5667,287.56,82,57,5.14,AU,1720127573
361,dzhalagash,45.0833,64.6667,298.28,27,0,6.27,KZ,1720127574
362,guelendeng,10.9176,15.5501,298.88,71,98,1.84,TD,1720127575
363,makoua,0.0069,15.6333,297.92,80,97,1.22,CG,1720127577
364,kirakira,-10.4544,161.9205,298.86,79,68,3.67,SB,1720127578
